"id","name","code"
1,"Abkhazian","ab"
2,"Afar","aa"
3,"Afrikaans","af"
4,"Akan","ak"
5,"Albanian","sq"
6,"Amharic","am"
7,"Arabic","ar"
8,"Aragonese","an"
9,"Armenian","hy"
10,"Assamese","as"
11,"Avaric","av"
12,"Aymara","ay"
13,"Azerbaijani","az"
14,"Bambara","bm"
15,"Bashkir","ba"
16,"Basque","eu"
17,"Belarusian","be"
18,"Bengali","bn"
19,"Bislama","bi"
20,"Bosnian","bs"
21,"Breton","br"
22,"Bulgarian","bg"
23,"Burmese","my"
24,"Catalan","ca"
25,"Central Khmer","km"
26,"Chamorro","ch"
27,"Chechen","ce"
28,"Chinese","zh"
29,"Chuvash","cv"
30,"Cornish","kw"
31,"Corsican","co"
32,"Cree","cr"
33,"Croatian","hr"
34,"Czech","cs"
35,"Danish","da"
36,"Dhivehi","dv"
37,"Dutch","nl"
38,"Dzongkha","dz"
39,"English","en"
40,"Estonian","et"
41,"Ewe","ee"
42,"Faroese","fo"
43,"Fijian","fj"
44,"Finnish","fi"
45,"French","fr"
46,"Fulah","ff"
47,"Galician","gl"
48,"Ganda","lg"
49,"Georgian","ka"
50,"German","de"
51,"Guarani","gn"
52,"Gujarati","gu"
53,"Haitian","ht"
54,"Hausa","ha"
55,"Hebrew","he"
56,"Herero","hz"
57,"Hindi","hi"
58,"Hiri Motu","ho"
59,"Hungarian","hu"
60,"Icelandic","is"
61,"Igbo","ig"
62,"Indonesian","id"
63,"Inuktitut","iu"
64,"Inupiaq","ik"
65,"Irish","ga"
66,"Italian","it"
67,"Japanese","ja"
68,"Javanese","jv"
69,"Kalaallisut","kl"
70,"Kannada","kn"
71,"Kanuri","kr"
72,"Kashmiri","ks"
73,"Kazakh","kk"
74,"Kikuyu","ki"
75,"Kinyarwanda","rw"
76,"Kirghiz","ky"
77,"Komi","kv"
78,"Kongo","kg"
79,"Korean","ko"
80,"Kuanyama","kj"
81,"Kurdish","ku"
82,"Lao","lo"
83,"Latvian","lv"
84,"Limburgan","li"
85,"Lingala","ln"
86,"Lithuanian","lt"
87,"Luba-Katanga","lu"
88,"Luxembourgish","lb"
89,"Macedonian","mk"
90,"Malagasy","mg"
91,"Malay","ms"
92,"Malayalam","ml"
93,"Maltese","mt"
94,"Manx","gv"
95,"Maori","mi"
96,"Marathi","mr"
97,"Marshallese","mh"
98,"Modern Greek","el"
99,"Mongolian","mn"
100,"Nauru","na"
101,"Navajo","nv"
102,"Ndonga","ng"
103,"Nepali (macrolanguage)","ne"
104,"North Ndebele","nd"
105,"Northern Sami","se"
106,"Norwegian","no"
107,"Norwegian Bokmål","nb"
108,"Norwegian Nynorsk","nn"
109,"Nyanja","ny"
110,"Occitan","oc"
111,"Ojibwa","oj"
112,"Oriya","or"
113,"Oromo","om"
114,"Ossetian","os"
115,"Panjabi","pa"
116,"Persian","fa"
117,"Polish","pl"
118,"Portuguese","pt"
119,"Pushto","ps"
120,"Quechua","qu"
121,"Romanian","ro"
122,"Romansh","rm"
123,"Rundi","rn"
124,"Russian","ru"
125,"Samoan","sm"
126,"Sango","sg"
127,"Sardinian","sc"
128,"Scottish Gaelic","gd"
129,"Serbian","sr"
130,"Serbo-Croatian","sh"
131,"Shona","sn"
132,"Sichuan Yi","ii"
133,"Sindhi","sd"
134,"Sinhala","si"
135,"Slovak","sk"
136,"Slovenian","sl"
137,"Somali","so"
138,"South Ndebele","nr"
139,"Southern Sotho","st"
140,"Spanish","es"
141,"Sundanese","su"
142,"Swahili","sw"
143,"Swati","ss"
144,"Swedish","sv"
145,"Tagalog","tl"
146,"Tahitian","ty"
147,"Tajik","tg"
148,"Tamil","ta"
149,"Tatar","tt"
150,"Telugu","te"
151,"Thai","th"
152,"Tibetan","bo"
153,"Tigrinya","ti"
154,"Tonga","to"
155,"Tsonga","ts"
156,"Tswana","tn"
157,"Turkish","tr"
158,"Turkmen","tk"
159,"Twi","tw"
160,"Uighur","ug"
161,"Ukrainian","uk"
162,"Urdu","ur"
163,"Uzbek","uz"
164,"Venda","ve"
165,"Vietnamese","vi"
166,"Walloon","wa"
167,"Welsh","cy"
168,"Western Frisian","fy"
169,"Wolof","wo"
170,"Xhosa","xh"
171,"Yiddish","yi"
172,"Yoruba","yo"
173,"Zhuang","za"
174,"Zulu","zu"
